collision_year,raw_fatal,raw_serious,adj_serious,ibrs_pct,raw_ksi,adj_ksi
2016,1539,19935,25421.439236128175,31.626871711857547,21474,26960.439236128175
2017,1491,20954,24656.64228340769,36.165967503209615,22445,26147.64228340769
2018,1531,21661,25181.19498275863,35.71564654127265,23192,26712.19498275863
2019,1490,21566,24200.237792128064,43.3342050916699,23056,25690.237792128064
2020,1270,17225,18997.16387751147,46.33103416134595,18495,20267.16387751147
2021,1317,20021,21624.839843535887,51.429291815058775,21338,22941.839843535887
2022,1464,21973,23536.464944368363,54.56751499107555,23437,25000.464944368363
2023,1374,22063,23497.657083922375,56.029021050480274,23437,24871.657083922375
2024,1377,22281,23551.579888772434,60.094120135363795,23658,24928.579888772434
