local_authority_ons_district,la_name,KSI,Total,Fatal,KSI_rate,Fatal_rate
E08000035,Leeds,1369,4512,50,30.34131205673759,1.1081560283687943
E08000025,Birmingham,1336,6878,63,19.424251235824368,0.915963943006688
E08000032,Bradford,891,3148,33,28.303684879288436,1.048284625158831
E08000019,Sheffield,774,2352,33,32.90816326530612,1.403061224489796
E09000033,Westminster,741,3610,13,20.526315789473685,0.3601108033240997
E06000052,Cornwall,739,2953,60,25.025397900440232,2.031832035218422
S12000049,Glasgow City,654,1795,28,36.43454038997215,1.5598885793871866
E08000003,Manchester,598,2059,28,29.04322486644002,1.3598834385624088
E08000034,Kirklees,592,2060,19,28.7378640776699,0.9223300970873786
E09000022,Lambeth,585,3085,19,18.962722852512158,0.6158833063209076
E09000028,Southwark,577,2927,8,19.713016740690126,0.2733173898189272
E08000017,Doncaster,560,1633,37,34.29271279853031,2.26576852418861
E08000012,Liverpool,549,2753,18,19.941881583726843,0.6538321830730113
E08000036,Wakefield,546,1851,26,29.497568881685577,1.4046461372231227
E06000047,County Durham,543,1423,55,38.15881939564301,3.865073787772312
