collision_year,collision_severity,speed_limit,road_type,urban_or_rural_area,junction_detail,latitude,longitude,collision_adjusted_severity_serious,collision_injury_based
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.000760115233469394,0.020523111303673635,0.020523111303673635,0.0,0.0
2016,0.0,0.028795567039193098,0.0007782585686268406,0.0,0.0824954082744451,0.005447809980387884,0.005447809980387884,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.4980006378333292,0.014719230674876727,0.014719230674876727,0.0,0.0
2018,0.0,0.0,0.0,0.0008659808098652533,0.6685371852159756,0.041567078873532164,0.041567078873532164,0.0,0.0
2019,0.0,0.07124369853995509,0.0,0.0,1.259841099497687,0.012625465564042673,0.012625465564042673,0.0,0.0
2020,0.0,0.013981451274642308,0.0,0.0,1.7593326187258236,0.015146572214195833,0.015146572214195833,0.0,0.0
2021,0.0,0.0,0.0,0.0,2.1662621996701232,0.014707890783405297,0.014707890783405297,0.0,0.0
2022,0.0,0.0,0.0,0.0,1.8229950063173093,0.014038465395182801,0.014038465395182801,0.0,0.0
2023,0.0,0.0,0.0,0.006131207847946045,2.449417535254445,0.008174943797261395,0.008174943797261395,0.0,0.0
2024,0.0,0.0021150592216582064,0.0,0.0,7.186971235194585,0.0,0.0,0.0,0.0
2025,0.0,0.4008898874424547,0.0,0.0,11.707306328333225,0.0022026916892442564,0.0022026916892442564,0.0,0.0
