collision_year,adj_ksi,fitted,residual,cooks_d
2016,26960.439236128175,26044.06339338698,916.3758427411958,0.09719692173979967
2017,26147.64228340769,25741.94254316612,405.6997402415727,0.009337624706348783
2018,26712.19498275863,25439.82169294526,1272.3732898133676,0.05049960887945876
2019,25690.237792128064,25137.7008427244,552.536949403664,0.006082520230558648
2020,20267.16387751147,24835.57999250354,-4568.416114992069,0.34813983544842303
2021,22941.839843535887,24533.459142282678,-1591.6192987467912,0.050470697159252356
2022,25000.464944368363,24231.33829206182,769.1266523065424,0.018452476011200838
2023,24871.657083922375,23929.21744184096,942.4396420814155,0.050388803619986246
2024,24928.579888772434,23627.0965916201,1301.4832971523356,0.19605704148468603
