road_user,Fatal,Serious,Slight,Total,KSI,KSI_pct,Fatal_pct
Car occupant,7168,88455,782552,878175,95623,10.888831952629031,0.8162382213112421
Unknown,4338,56245,163835,224418,60583,26.995606413032824,1.9330000267358232
Pedestrian,1030,37383,140641,179054,38413,21.453304589676858,0.5752454566778737
Motorcycle rider,3211,49395,111563,164169,52606,32.04380851439675,1.9559112865400896
Van occupant,372,4518,36481,41371,4890,11.819873824659787,0.8991805854342413
Minibus/bus occupant,99,3140,33638,36877,3239,8.783252433766304,0.2684600157279605
Taxi/PHV occupant,81,1442,21592,23115,1523,6.588795154661476,0.3504218040233614
Cyclist,54,3073,11173,14300,3127,21.867132867132867,0.3776223776223776
Other,247,2217,6907,9371,2464,26.293885391100204,2.635791270942269
HGV occupant,170,1377,7219,8766,1547,17.647729865389003,1.9393109742185717
